YEAR,MONTH,STATE,GRP,SUB_GRP,DESCRIPTION,RURAL,URBAN,COMBINED,STATUS
2013,January,ALL India,3,3.1.01,Clothing,106.5,105.9,106.3,F
2013,February,ALL India,3,3.1.01,Clothing,107.1,106.6,106.9,F
2013,March,ALL India,3,3.1.01,Clothing,107.6,107.2,107.4,F
2013,April,ALL India,3,3.1.01,Clothing,108.1,107.9,108,F
2013,May,ALL India,3,3.1.01,Clothing,108.8,108.5,108.7,F
2013,June,ALL India,3,3.1.01,Clothing,109.7,109.2,109.5,F
2013,July,ALL India,3,3.1.01,Clothing,110.5,109.8,110.2,F
2013,August,ALL India,3,3.1.01,Clothing,111.3,110.6,111,F
2013,September,ALL India,3,3.1.01,Clothing,112.7,111.4,112.2,F
2013,October,ALL India,3,3.1.01,Clothing,113.6,112.5,113.2,F
2013,November,ALL India,3,3.1.01,Clothing,114.6,113.5,114.2,F
2013,December,ALL India,3,3.1.01,Clothing,115.8,114.2,115.2,F
2014,January,ALL India,3,3.1.01,Clothing,116.5,114.8,115.8,F
2014,February,ALL India,3,3.1.01,Clothing,117.1,115.3,116.4,F
2014,March,ALL India,3,3.1.01,Clothing,117.5,115.8,116.8,F
2014,April,ALL India,3,3.1.01,Clothing,118.1,116.3,117.4,F
2014,May,ALL India,3,3.1.01,Clothing,118.7,116.8,118,F
2014,June,ALL India,3,3.1.01,Clothing,119.7,117.4,118.8,F
2014,July,ALL India,3,3.1.01,Clothing,120.7,118,119.6,F
2014,August,ALL India,3,3.1.01,Clothing,120.9,118.6,120,F
2014,September,ALL India,3,3.1.01,Clothing,121.7,119.2,120.7,F
2014,October,ALL India,3,3.1.01,Clothing,122.7,119.6,121.5,F
2014,November,ALL India,3,3.1.01,Clothing,123.3,120.3,122.1,F
2014,December,ALL India,3,3.1.01,Clothing,123.8,120.7,122.6,F
2015,January,ALL India,3,3.1.01,Clothing,124.4,121,123.1,F
2015,February,ALL India,3,3.1.01,Clothing,125.4,121.3,123.8,F
2015,March,ALL India,3,3.1.01,Clothing,126,121.7,124.3,F
2015,April,ALL India,3,3.1.01,Clothing,126.4,122.1,124.7,F
2015,May,ALL India,3,3.1.01,Clothing,127.3,122.4,125.4,F
2015,June,ALL India,3,3.1.01,Clothing,128.4,123.2,126.4,F
2015,July,ALL India,3,3.1.01,Clothing,128.8,123.5,126.7,F
2015,August,ALL India,3,3.1.01,Clothing,129.5,123.7,127.2,F
2015,September,ALL India,3,3.1.01,Clothing,130.4,124,127.9,F
2015,October,ALL India,3,3.1.01,Clothing,131.1,124.4,128.5,F
2015,November,ALL India,3,3.1.01,Clothing,132.1,125,129.3,F
2015,December,ALL India,3,3.1.01,Clothing,132.5,125.4,129.7,F
2016,January,ALL India,3,3.1.01,Clothing,133.2,125.8,130.3,F
2016,February,ALL India,3,3.1.01,Clothing,133.9,126.2,130.9,F
2016,March,ALL India,3,3.1.01,Clothing,134.4,126.4,131.3,F
2016,April,ALL India,3,3.1.01,Clothing,135,126.8,131.8,F
2016,May,ALL India,3,3.1.01,Clothing,135.4,127.2,132.2,F
2016,June,ALL India,3,3.1.01,Clothing,136.3,127.6,132.9,F
2016,July,ALL India,3,3.1.01,Clothing,137.2,127.9,133.5,F
2016,August,ALL India,3,3.1.01,Clothing,137.8,128.3,134.1,F
2016,September,ALL India,3,3.1.01,Clothing,138.5,128.7,134.6,F
2016,October,ALL India,3,3.1.01,Clothing,139.6,129.1,135.5,F
2016,November,ALL India,3,3.1.01,Clothing,139.9,129.6,135.8,F
2016,December,ALL India,3,3.1.01,Clothing,140.4,130,136.3,F
2017,January,ALL India,3,3.1.01,Clothing,140.7,130.2,136.6,F
2017,February,ALL India,3,3.1.01,Clothing,140.9,130.5,136.8,F
2017,March,ALL India,3,3.1.01,Clothing,141.6,130.8,137.3,F
2017,April,ALL India,3,3.1.01,Clothing,142.4,131.2,138,F
2017,May,ALL India,3,3.1.01,Clothing,142.5,131.5,138.2,F
2017,June,ALL India,3,3.1.01,Clothing,143.1,131.5,138.5,F
2017,July,ALL India,3,3.1.01,Clothing,144.3,131.6,139.3,F
2017,August,ALL India,3,3.1.01,Clothing,145.3,132.7,140.3,F
2017,September,ALL India,3,3.1.01,Clothing,146.1,133.3,141.1,F
2017,October,ALL India,3,3.1.01,Clothing,147.2,134,142,F
2017,November,ALL India,3,3.1.01,Clothing,148.2,135,143,F
2017,December,ALL India,3,3.1.01,Clothing,148,135.6,143.1,F
2018,January,ALL India,3,3.1.01,Clothing,148.3,136,143.5,F
2018,February,ALL India,3,3.1.01,Clothing,148.7,136.3,143.8,F
2018,March,ALL India,3,3.1.01,Clothing,149.2,136.7,144.3,F
2018,April,ALL India,3,3.1.01,Clothing,150.1,137.8,145.3,F
2018,May,ALL India,3,3.1.01,Clothing,150.8,138.6,146,F
2018,June,ALL India,3,3.1.01,Clothing,151.3,138.9,146.4,F
2018,July,ALL India,3,3.1.01,Clothing,151.5,139.6,146.8,F
2018,August,ALL India,3,3.1.01,Clothing,152.1,140,147.3,F
2018,September,ALL India,3,3.1.01,Clothing,152.1,140.8,147.7,F
2018,October,ALL India,3,3.1.01,Clothing,150.7,141.5,147.1,F
2018,November,ALL India,3,3.1.01,Clothing,151.7,142.4,148,F
2018,December,ALL India,3,3.1.01,Clothing,151.6,142.7,148.1,F
2019,January,ALL India,3,3.1.01,Clothing,150.6,143,147.6,F
2019,February,ALL India,3,3.1.01,Clothing,150.5,143.3,147.7,F
2019,March,ALL India,3,3.1.01,Clothing,150.8,143.5,147.9,F
2019,April,ALL India,3,3.1.01,Clothing,150.8,143.9,148.1,F
2019,May,ALL India,3,3.1.01,Clothing,151.3,144,148.4,F
2019,June,ALL India,3,3.1.01,Clothing,151.4,144.3,148.6,F
2019,July,ALL India,3,3.1.01,Clothing,151.7,145.6,149.3,P
2013,January,ALL India,3,3.1.02,Footwear,105.8,105,105.5,F
2013,February,ALL India,3,3.1.02,Footwear,106.3,105.5,106,F
2013,March,ALL India,3,3.1.02,Footwear,106.8,106,106.5,F
2013,April,ALL India,3,3.1.02,Footwear,107.4,106.4,107,F
2013,May,ALL India,3,3.1.02,Footwear,107.9,106.7,107.4,F
2013,June,ALL India,3,3.1.02,Footwear,108.8,107.2,108.1,F
2013,July,ALL India,3,3.1.02,Footwear,109.5,107.8,108.8,F
2013,August,ALL India,3,3.1.02,Footwear,110.2,108.3,109.4,F
2013,September,ALL India,3,3.1.02,Footwear,111.4,109,110.4,F
2013,October,ALL India,3,3.1.02,Footwear,112.3,109.7,111.2,F
2013,November,ALL India,3,3.1.02,Footwear,113.1,110.3,111.9,F
2013,December,ALL India,3,3.1.02,Footwear,114,110.9,112.7,F
2014,January,ALL India,3,3.1.02,Footwear,114.5,111.3,113.2,F
2014,February,ALL India,3,3.1.02,Footwear,114.5,111.7,113.3,F
2014,March,ALL India,3,3.1.02,Footwear,114.9,112.1,113.7,F
2014,April,ALL India,3,3.1.02,Footwear,116.1,112.5,114.6,F
2014,May,ALL India,3,3.1.02,Footwear,116.8,112.9,115.2,F
2014,June,ALL India,3,3.1.02,Footwear,117.3,113.2,115.6,F
2014,July,ALL India,3,3.1.02,Footwear,118.3,113.6,116.3,F
2014,August,ALL India,3,3.1.02,Footwear,118.8,114.1,116.8,F
2014,September,ALL India,3,3.1.02,Footwear,119.2,114.5,117.2,F
2014,October,ALL India,3,3.1.02,Footwear,120.3,114.9,118.1,F
2014,November,ALL India,3,3.1.02,Footwear,120.5,115.4,118.4,F
2014,December,ALL India,3,3.1.02,Footwear,120.6,115.8,118.6,F
2015,January,ALL India,3,3.1.02,Footwear,121.6,116.1,119.3,F
2015,February,ALL India,3,3.1.02,Footwear,122.7,116.5,120.1,F
2015,March,ALL India,3,3.1.02,Footwear,122.9,116.9,120.4,F
2015,April,ALL India,3,3.1.02,Footwear,123.3,117.2,120.8,F
2015,May,ALL India,3,3.1.02,Footwear,124.1,117.4,121.3,F
2015,June,ALL India,3,3.1.02,Footwear,125.1,117.6,122,F
2015,July,ALL India,3,3.1.02,Footwear,125.5,117.9,122.3,F
2015,August,ALL India,3,3.1.02,Footwear,126.3,118.2,122.9,F
2015,September,ALL India,3,3.1.02,Footwear,126.8,118.6,123.4,F
2015,October,ALL India,3,3.1.02,Footwear,127.3,118.8,123.8,F
2015,November,ALL India,3,3.1.02,Footwear,128.2,119.3,124.5,F
2015,December,ALL India,3,3.1.02,Footwear,128.5,119.5,124.8,F
2016,January,ALL India,3,3.1.02,Footwear,128.9,119.8,125.1,F
2016,February,ALL India,3,3.1.02,Footwear,129.8,120.1,125.8,F
2016,March,ALL India,3,3.1.02,Footwear,130.2,120.3,126.1,F
2016,April,ALL India,3,3.1.02,Footwear,130.6,120.5,126.4,F
2016,May,ALL India,3,3.1.02,Footwear,131.1,120.7,126.8,F
2016,June,ALL India,3,3.1.02,Footwear,131.6,121.1,127.2,F
2016,July,ALL India,3,3.1.02,Footwear,132.2,121.1,127.6,F
2016,August,ALL India,3,3.1.02,Footwear,133,121.4,128.2,F
2016,September,ALL India,3,3.1.02,Footwear,133.5,121.6,128.6,F
2016,October,ALL India,3,3.1.02,Footwear,134.3,121.9,129.1,F
2016,November,ALL India,3,3.1.02,Footwear,134.5,122.1,129.3,F
2016,December,ALL India,3,3.1.02,Footwear,135.2,122.2,129.8,F
2017,January,ALL India,3,3.1.02,Footwear,135.8,122.3,130.2,F
2017,February,ALL India,3,3.1.02,Footwear,135.8,122.5,130.3,F
2017,March,ALL India,3,3.1.02,Footwear,136.2,122.8,130.6,F
2017,April,ALL India,3,3.1.02,Footwear,136.8,123,131.1,F
2017,May,ALL India,3,3.1.02,Footwear,137.3,123.2,131.4,F
2017,June,ALL India,3,3.1.02,Footwear,137.7,123.2,131.7,F
2017,July,ALL India,3,3.1.02,Footwear,138.1,123.7,132.1,F
2017,August,ALL India,3,3.1.02,Footwear,139.2,124.3,133,F
2017,September,ALL India,3,3.1.02,Footwear,139.7,124.6,133.4,F
2017,October,ALL India,3,3.1.02,Footwear,140.6,124.9,134.1,F
2017,November,ALL India,3,3.1.02,Footwear,141.5,125.4,134.8,F
2017,December,ALL India,3,3.1.02,Footwear,141.9,125.6,135.1,F
2018,January,ALL India,3,3.1.02,Footwear,142.3,125.9,135.5,F
2018,February,ALL India,3,3.1.02,Footwear,142.4,126.1,135.6,F
2018,March,ALL India,3,3.1.02,Footwear,143,126.7,136.2,F
2018,April,ALL India,3,3.1.02,Footwear,143.3,127.4,136.7,F
2018,May,ALL India,3,3.1.02,Footwear,144.1,127.9,137.4,F
2018,June,ALL India,3,3.1.02,Footwear,144.7,128.7,138.1,F
2018,July,ALL India,3,3.1.02,Footwear,145.1,128.9,138.4,F
2018,August,ALL India,3,3.1.02,Footwear,145.8,129,138.8,F
2018,September,ALL India,3,3.1.02,Footwear,146.1,129.3,139.1,F
2018,October,ALL India,3,3.1.02,Footwear,144.5,129.8,138.4,F
2018,November,ALL India,3,3.1.02,Footwear,145.5,130.2,139.1,F
2018,December,ALL India,3,3.1.02,Footwear,145.9,130.3,139.4,F
2019,January,ALL India,3,3.1.02,Footwear,145.1,130.4,139,F
2019,February,ALL India,3,3.1.02,Footwear,146.1,130.8,139.7,F
2019,March,ALL India,3,3.1.02,Footwear,146.1,131.2,139.9,F
2019,April,ALL India,3,3.1.02,Footwear,146.3,131.3,140.1,F
2019,May,ALL India,3,3.1.02,Footwear,146.6,131.7,140.4,F
2019,June,ALL India,3,3.1.02,Footwear,146.5,131.7,140.4,F
2019,July,ALL India,3,3.1.02,Footwear,146.6,131.9,140.5,P
2013,January,ALL India,3,,Clothing and footwear,106.4,105.8,106.2,F
2013,February,ALL India,3,,Clothing and footwear,107,106.4,106.8,F
2013,March,ALL India,3,,Clothing and footwear,107.5,107,107.3,F
2013,April,ALL India,3,,Clothing and footwear,108,107.7,107.9,F
2013,May,ALL India,3,,Clothing and footwear,108.6,108.3,108.5,F
2013,June,ALL India,3,,Clothing and footwear,109.5,108.9,109.3,F
2013,July,ALL India,3,,Clothing and footwear,110.3,109.5,110,F
2013,August,ALL India,3,,Clothing and footwear,111.1,110.2,110.7,F
2013,September,ALL India,3,,Clothing and footwear,112.5,111.1,111.9,F
2013,October,ALL India,3,,Clothing and footwear,113.4,112,112.8,F
2013,November,ALL India,3,,Clothing and footwear,114.4,113,113.8,F
2013,December,ALL India,3,,Clothing and footwear,115.5,113.7,114.8,F
2014,January,ALL India,3,,Clothing and footwear,116.2,114.3,115.4,F
2014,February,ALL India,3,,Clothing and footwear,116.7,114.7,115.9,F
2014,March,ALL India,3,,Clothing and footwear,117.2,115.2,116.4,F
2014,April,ALL India,3,,Clothing and footwear,117.8,115.7,117,F
2014,May,ALL India,3,,Clothing and footwear,118.5,116.2,117.6,F
2014,June,ALL India,3,,Clothing and footwear,119.3,116.7,118.3,F
2014,July,ALL India,3,,Clothing and footwear,120.3,117.4,119.1,F
2014,August,ALL India,3,,Clothing and footwear,120.7,117.9,119.6,F
2014,September,ALL India,3,,Clothing and footwear,121.3,118.4,120.1,F
2014,October,ALL India,3,,Clothing and footwear,122.3,118.9,121,F
2014,November,ALL India,3,,Clothing and footwear,122.9,119.5,121.6,F
